rec_idx,title,company,location,career,education,deadline,link,salary,crawled_at,score
52204227,[정규직/신입O] KTCS 대전센터 세일즈 상담사 채용,(주)블루에이치알,대전서구,경력무관,고졸↑,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52204227&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52230180,"제조기술, 전기, 전산보안, 안전관리 모집",(주)피엔티,경북구미시,경력무관,고졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52230180&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52272995,[울산]소프트웨어 개발자 채용,(주)엔엠소프트,울산남구,신입·경력,초대졸↑,~ 01/10(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52272995&location=ts&searchType=search&paid_fl=n&search_uuid=bb983ef6-e9e6-4fe6-9370-0c6f624eaac3,,2025-11-12 01:05:31,30
52265971,2026년 채움정보통신(주) 직원 채용 공고,채움정보통신(주),대전중구,신입·경력,학력무관,~ 01/09(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52265971&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52264418,"[부산] 웹 디자니어,퍼블리셔,프로그래머를 모십니다.",(주)엠버시유학원,부산부산진구,경력무관,학력무관,~ 12/10(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52264418&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52262835,서버가상화솔루션 및 서버백업 엔지니어 채용(신입 및 경력),㈜한아IT,대구동구,신입·경력,초대졸↑,~ 12/10(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52262835&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52260531,인공지능 및 데이터 분석  직무 채용 공고,(주)싸인랩,부산부산진구,경력무관,학력무관,~ 12/10(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52260531&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52108826,[종합 인공위성그룹]정지궤도위성팀 비행역학 담당자 채용,(주)아이옵스,대전전체,경력무관,대졸↑,~ 11/21(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52108826&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52249166,"창원지사 채용 - 비전검사 엔지니어링 경력직, 신입 2명",(주)에스피텍,경남창원시,경력무관,학력무관,~ 12/07(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52249166&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
52242103,"공간정보 및 디지털트윈 SW 초급 개발자 정규직 채용(신입,경력)",가이아쓰리디(주),대전유성구,신입·경력,대졸↑,~ 12/06(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52242103&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,30
